Actual	Predicted	Count
B8	B8	320
D10	B8	3
D13	B8	0
D14	B8	0
DH4	B8	0
DH8	B8	0
DH9	B8	0
L3	B8	1
L7	B8	0
R2	B8	0
R5	B8	0
S4	B8	0
T9	B8	0
Y1	B8	0
Y6	B8	0
B8	D10	0
D10	D10	346
D13	D10	0
D14	D10	2
DH4	D10	0
DH8	D10	0
DH9	D10	0
L3	D10	0
L7	D10	0
R2	D10	0
R5	D10	1
S4	D10	0
T9	D10	0
Y1	D10	0
Y6	D10	0
B8	D13	1
D10	D13	0
D13	D13	304
D14	D13	0
DH4	D13	0
DH8	D13	0
DH9	D13	0
L3	D13	0
L7	D13	0
R2	D13	0
R5	D13	0
S4	D13	0
T9	D13	0
Y1	D13	0
Y6	D13	0
B8	D14	0
D10	D14	0
D13	D14	0
D14	D14	334
DH4	D14	0
DH8	D14	0
DH9	D14	0
L3	D14	0
L7	D14	0
R2	D14	0
R5	D14	0
S4	D14	0
T9	D14	0
Y1	D14	0
Y6	D14	0
B8	DH4	0
D10	DH4	0
D13	DH4	1
D14	DH4	0
DH4	DH4	362
DH8	DH4	0
DH9	DH4	0
L3	DH4	0
L7	DH4	0
R2	DH4	0
R5	DH4	0
S4	DH4	0
T9	DH4	0
Y1	DH4	0
Y6	DH4	0
B8	DH8	1
D10	DH8	0
D13	DH8	0
D14	DH8	0
DH4	DH8	0
DH8	DH8	313
DH9	DH8	0
L3	DH8	0
L7	DH8	0
R2	DH8	1
R5	DH8	0
S4	DH8	0
T9	DH8	0
Y1	DH8	0
Y6	DH8	0
B8	DH9	0
D10	DH9	0
D13	DH9	0
D14	DH9	0
DH4	DH9	0
DH8	DH9	0
DH9	DH9	408
L3	DH9	1
L7	DH9	0
R2	DH9	0
R5	DH9	0
S4	DH9	0
T9	DH9	0
Y1	DH9	0
Y6	DH9	0
B8	L3	0
D10	L3	0
D13	L3	0
D14	L3	0
DH4	L3	0
DH8	L3	0
DH9	L3	0
L3	L3	279
L7	L3	0
R2	L3	0
R5	L3	0
S4	L3	0
T9	L3	0
Y1	L3	0
Y6	L3	0
B8	L7	1
D10	L7	2
D13	L7	0
D14	L7	0
DH4	L7	0
DH8	L7	0
DH9	L7	0
L3	L7	0
L7	L7	720
R2	L7	0
R5	L7	0
S4	L7	0
T9	L7	0
Y1	L7	0
Y6	L7	0
B8	R2	1
D10	R2	0
D13	R2	0
D14	R2	1
DH4	R2	0
DH8	R2	0
DH9	R2	1
L3	R2	0
L7	R2	0
R2	R2	358
R5	R2	0
S4	R2	1
T9	R2	0
Y1	R2	0
Y6	R2	1
B8	R5	0
D10	R5	1
D13	R5	0
D14	R5	0
DH4	R5	0
DH8	R5	0
DH9	R5	0
L3	R5	1
L7	R5	2
R2	R5	1
R5	R5	352
S4	R5	0
T9	R5	0
Y1	R5	1
Y6	R5	4
B8	S4	0
D10	S4	0
D13	S4	0
D14	S4	0
DH4	S4	0
DH8	S4	0
DH9	S4	0
L3	S4	0
L7	S4	0
R2	S4	0
R5	S4	1
S4	S4	424
T9	S4	0
Y1	S4	0
Y6	S4	1
B8	T9	0
D10	T9	1
D13	T9	1
D14	T9	0
DH4	T9	0
DH8	T9	0
DH9	T9	0
L3	T9	0
L7	T9	0
R2	T9	0
R5	T9	0
S4	T9	0
T9	T9	336
Y1	T9	0
Y6	T9	0
B8	Y1	0
D10	Y1	0
D13	Y1	0
D14	Y1	0
DH4	Y1	0
DH8	Y1	1
DH9	Y1	0
L3	Y1	0
L7	Y1	0
R2	Y1	1
R5	Y1	1
S4	Y1	1
T9	Y1	0
Y1	Y1	344
Y6	Y1	0
B8	Y6	4
D10	Y6	2
D13	Y6	0
D14	Y6	0
DH4	Y6	0
DH8	Y6	0
DH9	Y6	0
L3	Y6	0
L7	Y6	0
R2	Y6	0
R5	Y6	2
S4	Y6	0
T9	Y6	0
Y1	Y6	0
Y6	Y6	302
